keywords,count,relevance
iPhone XL,13,0.658552
iPhone XS Max,16,0.554671125
nice phone,2,0.570573
new iphone xl,1,0.549092
nice phones,1,0.544747
great camera,2,0.54046
instant buy,1,0.537277
much thinner,1,0.536581
big deal,3,0.535023
PIXEL,78,0.534677
glass flagship phones,1,0.533276
huge fan of the look,1,0.529934
phones,16,0.529606
OG pixel XL 128GB,1,0.527894
tldr xl,1,0.52738
years of iPhone loyalty,1,0.527113
stock android,3,0.535058
USA-NY,2,0.524193
original XL,1,0.523859
iPhone 6s,12,0.522952
time Google,1,0.523478
battery life,9,0.519881
right thing,1,0.523097
much hope,1,0.522719
watch r,1,0.522386
enough time,1,0.521899
good phone,3,0.521276
great screen,1,0.520308
huge deal,1,0.520229
thin phone,1,0.519844
daily train commuter,1,0.519744
high end phones,1,0.51964
iPhone 'XL,1,0.518691
last time,1,0.518276
expensive gaming computer,1,0.517776
wide angle camera,1,0.517481
years olds birthday,1,0.517203
referral link,2,0.517088
optical zoom,1,0.516709
Best Buy,4,0.51613
iPhone X,16,0.5745615
new iPhone,1,0.515648
240-250GB SSDs,1,0.515626
iPhone XL 😭,1,0.515316
T-mobile,3,0.514763
pixel line,1,0.514631
great phone,3,0.513951
original boxes,1,0.513776
only people posting,1,0.513685
bigger screen,1,0.513543
2XL,6,0.560202
great need of a new phone,1,0.583181
good deal,2,0.579211
google apps,1,0.574916
good condition,4,0.542593
android phones,1,0.540041
years of little change,1,0.537716
apple ecosystem,1,0.536032
afraid Google,1,0.534368
Pixel,179,0.53006425
Samsung Galaxy S7 Edge,1,0.530383
iPhone SE,1,0.530086
app design,1,0.529008
Blue switch keyboard,1,0.5264
invisible window Android P,1,0.525784
phone,37,0.5200935
plain iOS,1,0.523891
USA-CA,6,0.5237295
New One Every Four Days,1,0.522937
Good overall condition,1,0.522464
old oneplus,1,0.521545
Mod Post,1,0.521299
recent apps screen comparison,1,0.521112
5t,1,0.520884
Need help,2,0.52055
like swap,1,0.519881
Google Pixel,27,0.59706925
Need Supply,1,0.519084
celular devices,1,0.518832
last apple device,1,0.518413
T-Mobile,6,0.519732
extra features,1,0.517957
huge fan of the camera,1,0.51659
non-technical friend upgrade,1,0.516028
next year,1,0.515972
iPhone XS SIM,1,0.515501
work computer,1,0.515383
iPhone Holder,1,0.51445
Open Waze,1,0.513737
better time,1,0.513712
Google Maps,2,0.513417
simple design issues,1,0.512713
price drop,1,0.512575
lot of apps,1,0.512379
lot of notes,1,0.512162
new battery,3,0.512015
facebook app,1,0.511984
Google pixel,8,0.698185
google phone,1,0.592849
light signs of use,3,0.580809
serious look,1,0.562237
Pixel screen,1,0.561028
best overall device,1,0.548983
Android phones,3,0.5358755
Buy Pixel,2,0.543611
Razer Seiren X,2,0.540129
extensive use of Gmail,1,0.537906
nearest Apple Store,1,0.536617
pixel XL og,1,0.534384
Google USB C,3,0.534029
hand feel,1,0.530969
Good conditions,3,0.52925
iPhone's notch look,1,0.528152
VS iPhone XR,1,0.525202
Apple Watch Series,1,0.524086
original box,9,0.5205605
red iPhone,2,0.522849
terms of the screen size,1,0.5228
new phone,2,0.522246
long time,1,0.521348
Wraith Stealth Coolers,4,0.520477
business days,3,0.520271
C cable,3,0.519895
pixel og,1,0.519369
OG pixel XL,1,0.519147
Galaxy S10e,1,0.518834
screen size,1,0.518782
Astro A50,4,0.518693
smaller pixel,1,0.518633
xl,54,0.518579
big blend,2,0.517662
G-Sync Ultrawide,2,0.517319
Razer Nommo Chroma,2,0.516866
Android-curious,1,0.516824
gaming monitor,2,0.516034
Plus size iPhone,1,0.515913
Razer Nommo Chroma Speakers,2,0.51591
great conditions,2,0.515892
PS4,2,0.515711
VR headset,1,0.515543
stock USB C,3,0.515199
Razer Seiren X Microphone,2,0.514592
bigger screen phones,1,0.514572
good price,1,0.514564
credit use code D97DRH,1,0.594742
Google Photos,1,0.576555
big complaint of Android phones,1,0.568011
USA-MD,1,0.551437
6S,4,0.546955
new Pixels debut,1,0.537059
release of the iPhone X,1,0.537048
XL look,1,0.535853
Rode Podcaster Mic,1,0.535154
XL Unboxing,1,0.534642
Pokemon Let's Go,1,0.53366
XL 128gb Black,1,0.532733
much bezel,1,0.528997
iPhone,34,0.528122
better watch,1,0.525926
Pixel 2XL,2,0.525589
Own’ Google Pixel,1,0.524722
MacBook Pro,1,0.524035
grey h,1,0.523953
single issue,1,0.522512
fan of Android devices,1,0.52249
YSL CARD HOLDER,2,0.52223
Galaxy S9,1,0.521947
Samsung Galaxy Note,1,0.519415
Lightning Cable,2,0.519065
XL,44,0.518335
S3,1,0.518261
Local Cash,2,0.518139
Long story,1,0.51756
Asus RT-AC68U Router,1,0.517239
DARCY LV WALLET,2,0.517063
BNIB Ryzen 2700x,2,0.516861
work apps,1,0.516845
free google home mini,1,0.516431
bezel-less screen,1,0.516041
new Pixel,2,0.515545
primary photo app,1,0.515461
White Google Pixel,1,0.515404
stock Android,1,0.515359
smaller bezels,1,0.515248
Rode Podcaster,2,0.514443
Diehard Apple iPhone user switches,1,0.752615
verizon store,1,0.620328
Factory Unlocked,1,0.616617
iPhone XR,1,0.61253
USA-TX,1,0.591813
Samsung Galaxy,1,0.569076
